product_sk,product_id,product_name,category,brand,unit_price,unit_cost
1,1,Item 1,Home,Soylent,179.39,139.59
2,2,Item 2,Sports,Acme,198.46,154.54
3,3,Item 3,Sports,Umbrella,34.49,24.27
4,4,Item 4,Home,Initech,130.58,86.6
5,5,Item 5,Toys,Umbrella,22.07,16.65
6,6,Item 6,Sports,Umbrella,153.26,112.24
7,7,Item 7,Electronics,Acme,105.66,71.29
8,8,Item 8,Toys,Globex,51.91,32.13
9,9,Item 9,Sports,Globex,39.99,29.97
10,10,Item 10,Sports,Globex,180.42,117.72
11,11,Item 11,Sports,Initech,59.47,46.82
12,12,Item 12,Sports,Initech,278.28,180.38
13,13,Item 13,Electronics,Initech,178.51,111.49
14,14,Item 14,Sports,Globex,110.59,84.74
15,15,Item 15,Toys,Soylent,181.37,114.38
16,16,Item 16,Home,Acme,16.61,10.56
17,17,Item 17,Sports,Globex,287.98,207.31
18,18,Item 18,Electronics,Acme,149.87,116.14
19,19,Item 19,Home,Globex,236.99,151.5
20,20,Item 20,Home,Soylent,33.99,22.5
21,21,Item 21,Toys,Globex,151.13,114.18
22,22,Item 22,Electronics,Soylent,152.31,120.99
23,23,Item 23,Home,Umbrella,281.97,197.42
24,24,Item 24,Home,Initech,175.8,110.54
25,25,Item 25,Toys,Umbrella,147.31,88.8
26,26,Item 26,Toys,Globex,87.42,56.47
27,27,Item 27,Electronics,Initech,106.16,66.49
28,28,Item 28,Electronics,Soylent,160.99,118.41
29,29,Item 29,Toys,Globex,137.28,85.71
30,30,Item 30,Electronics,Initech,16.27,11.41
31,31,Item 31,Toys,Globex,249.62,184.43
32,32,Item 32,Home,Initech,269.89,193.3
33,33,Item 33,Toys,Initech,50.67,32.43
34,34,Item 34,Home,Umbrella,170.67,129.85
35,35,Item 35,Home,Initech,41.49,30.83
36,36,Item 36,Sports,Globex,204.95,153.26
37,37,Item 37,Electronics,Acme,91.56,57.34
38,38,Item 38,Sports,Acme,201.23,125.72
39,39,Item 39,Sports,Umbrella,220.83,173.46
40,40,Item 40,Toys,Soylent,232.91,158.27
41,41,Item 41,Toys,Acme,41.24,27.23
42,42,Item 42,Sports,Umbrella,275.64,192.32
43,43,Item 43,Home,Initech,76.76,56.23
44,44,Item 44,Home,Globex,20.85,16.49
45,45,Item 45,Home,Initech,170.91,112.34
46,46,Item 46,Toys,Globex,117.57,92.29
47,47,Item 47,Home,Soylent,250.64,151.63
48,48,Item 48,Electronics,Umbrella,244.39,173.77
49,49,Item 49,Home,Umbrella,101.97,74.11
50,50,Item 50,Electronics,Acme,286.34,177.87
51,51,Item 51,Electronics,Umbrella,94.37,59.27
52,52,Item 52,Electronics,Soylent,159.37,108.98
53,53,Item 53,Toys,Acme,84.23,66.82
54,54,Item 54,Sports,Initech,281.45,202.42
55,55,Item 55,Sports,Umbrella,57.74,45.42
56,56,Item 56,Home,Initech,23.02,17.52
57,57,Item 57,Sports,Initech,136.18,94.44
58,58,Item 58,Electronics,Umbrella,297.79,225.41
59,59,Item 59,Toys,Globex,268.59,162.11
60,60,Item 60,Sports,Initech,227.1,141.22
